date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
01-01-2016,42,34,38,0,0,0
02-01-2016,40,32,36,0,0,0
03-01-2016,45,35,40,0,0,0
04-01-2016,36,14,25,0,0,0
05-01-2016,29,11,20,0,0,0
06-01-2016,41,25,33,0,0,0
07-01-2016,46,31,38.5,0,0,0
08-01-2016,46,31,38.5,0,0,0
09-01-2016,47,40,43.5,T,0,0
10-01-2016,59,40,49.5,1.8,0,0
11-01-2016,40,26,33,0,0,0
12-01-2016,44,25,34.5,0,T,0
13-01-2016,30,22,26,0,0,0
14-01-2016,38,22,30,0,T,0
15-01-2016,51,34,42.5,T,0,0
16-01-2016,52,42,47,0.24,0,0
17-01-2016,42,30,36,0.05,0.4,0
18-01-2016,31,18,24.5,T,T,T
19-01-2016,28,16,22,0,0,T
20-01-2016,37,27,32,0,0,T
21-01-2016,36,26,31,0,0,0
22-01-2016,30,21,25.5,0.01,0.2,0
23-01-2016,27,24,25.5,2.31,27.3,6
24-01-2016,35,20,27.5,T,T,22
25-01-2016,39,28,33.5,0,0,19
26-01-2016,48,38,43,0,0,17
27-01-2016,47,34,40.5,T,0,9
28-01-2016,42,32,37,0,0,6
29-01-2016,41,30,35.5,0,0,6
30-01-2016,39,28,33.5,0,0,6
31-01-2016,56,36,46,0,0,4
01-02-2016,59,44,51.5,0.01,0,2
02-02-2016,50,38,44,0,0,T
03-02-2016,59,42,50.5,0.73,0,0
04-02-2016,59,44,51.5,T,0,0
05-02-2016,44,31,37.5,0.53,2.5,1
06-02-2016,40,30,35,0,0,0
07-02-2016,47,33,40,0,0,0
08-02-2016,39,28,33.5,0.05,0.1,0
09-02-2016,36,27,31.5,0,T,T
10-02-2016,39,31,35,0.01,T,0
11-02-2016,31,18,24.5,T,T,0
12-02-2016,27,15,21,0,0,0
13-02-2016,22,6,14,0,0,0
14-02-2016,15,-1,7,0,0,0
15-02-2016,35,13,24,0.44,1.4,0
16-02-2016,54,35,44.5,1.01,0,0
17-02-2016,39,35,37,0,0,0
18-02-2016,36,27,31.5,0,0,0
19-02-2016,39,24,31.5,0,0,0
20-02-2016,61,39,50,0,0,0
21-02-2016,55,44,49.5,0.03,0,0
22-02-2016,52,38,45,0,0,0
23-02-2016,40,35,37.5,0.3,T,0
24-02-2016,60,36,48,1.22,0,0
25-02-2016,61,37,49,0.02,0,0
26-02-2016,39,27,33,0,0,0
27-02-2016,41,26,33.5,0,0,0
28-02-2016,60,38,49,0,0,0
29-02-2016,61,47,54,0.05,0,0
01-03-2016,52,39,45.5,0,0,0
02-03-2016,55,29,42,0.14,0,0
03-03-2016,36,26,31,0,0,0
04-03-2016,39,30,34.5,0.11,0.4,T
05-03-2016,41,28,34.5,0,0,0
06-03-2016,44,32,38,0,0,0
07-03-2016,60,36,48,0,0,0
08-03-2016,67,47,57,0,0,0
09-03-2016,77,44,60.5,0,0,0
10-03-2016,79,63,71,0,0,0
11-03-2016,68,48,58,0.06,0,0
12-03-2016,59,40,49.5,0,0,0
13-03-2016,62,50,56,T,0,0
14-03-2016,51,40,45.5,0.29,0,0
15-03-2016,57,44,50.5,0,0,0
16-03-2016,65,48,56.5,0.02,0,0
17-03-2016,63,45,54,T,0,0
18-03-2016,57,42,49.5,0,0,0
19-03-2016,46,36,41,0,0,0
20-03-2016,43,32,37.5,0.07,T,0
21-03-2016,50,32,41,0.06,0.5,T
22-03-2016,56,35,45.5,0,0,0
23-03-2016,71,48,59.5,0,0,0
24-03-2016,55,44,49.5,0,0,0
25-03-2016,72,44,58,0.04,0,0
26-03-2016,55,38,46.5,0,0,0
27-03-2016,55,43,49,0,0,0
28-03-2016,62,42,52,0.38,0,0
29-03-2016,53,40,46.5,0,0,0
30-03-2016,56,37,46.5,0,0,0
31-03-2016,73,49,61,0,0,0
01-04-2016,79,61,70,0.02,0,0
02-04-2016,61,49,55,0.16,0,0
03-04-2016,50,34,42,0.09,T,0
04-04-2016,45,29,37,0.47,T,0
05-04-2016,43,26,34.5,0,0,0
06-04-2016,48,30,39,0,0,0
07-04-2016,58,48,53,0.09,0,0
08-04-2016,50,40,45,0.01,0,0
09-04-2016,43,36,39.5,0.11,T,0
10-04-2016,50,31,40.5,0,0,0
11-04-2016,65,43,54,0.01,0,0
12-04-2016,59,45,52,0.2,0,0
13-04-2016,58,40,49,0,0,0
14-04-2016,62,43,52.5,0,0,0
15-04-2016,65,42,53.5,0,0,0
16-04-2016,68,43,55.5,0,0,0
17-04-2016,75,44,59.5,0,0,0
18-04-2016,82,51,66.5,0,0,0
